min_lon,min_lat,max_lon,max_lat,Island_Letter,Island_Number,Grid_Number,island_number
-90.83474731445312,-0.6833299994468688,-90.80145698729015,-0.6502777496973673,X,1,163,1
-90.56810760498048,-0.6833299994468688,-90.5348172778175,-0.6502777496973673,X,1,164,4
-90.16815185546876,-0.6833299994468688,-90.13486152830578,-0.6502777496973673,X,1,165,4
-89.40155792236328,-0.6833299994468688,-89.36826759520031,-0.6502777496973673,X,1,166,6
-89.36823272705078,-0.6833299994468688,-89.33494239988781,-0.6502777496973673,X,1,167,6
-89.33489990234375,-0.6833299994468688,-89.30160957518078,-0.6502777496973673,X,1,168,6
-89.30156707763672,-0.6833299994468688,-89.26827675047375,-0.6502777496973673,X,1,169,6
-89.26824188232422,-0.6833299994468688,-89.23495155516125,-0.6502777496973673,X,1,170,6
-89.23490905761719,-0.6833299994468688,-89.2016187304542,-0.6502777496973673,X,1,171,6
-91.2680435180664,-0.6499999761581421,-91.23475319090343,-0.6169477264086405,X,1,172,1
-91.23471069335938,-0.6499999761581421,-91.2014203661964,-0.6169477264086405,X,1,173,1
-91.20137786865234,-0.6499999761581421,-91.16808754148936,-0.6169477264086405,X,1,174,1
-91.16805267333984,-0.6499999761581421,-91.13476234617687,-0.6169477264086405,X,1,175,1
-91.1347198486328,-0.6499999761581421,-91.10142952146984,-0.6169477264086405,X,1,176,1
-90.86808013916016,-0.6499999761581421,-90.83478981199718,-0.6169477264086405,X,1,177,1
-90.56810760498048,-0.6499999761581421,-90.5348172778175,-0.6169477264086405,X,1,178,4
-90.16815185546876,-0.6499999761581421,-90.13486152830578,-0.6169477264086405,X,1,179,4
-91.1347198486328,-0.6166700124740601,-91.10142952146984,-0.5836177627245585,X,1,180,1
-91.10138702392578,-0.6166700124740601,-91.0680966967628,-0.5836177627245585,X,1,181,1
-90.96807098388672,-0.6166700124740601,-90.93478065672376,-0.5836177627245585,X,1,182,1
-90.93473815917969,-0.6166700124740601,-90.90144783201671,-0.5836177627245585,X,1,183,1
-90.9014129638672,-0.6166700124740601,-90.8681226367042,-0.5836177627245585,X,1,184,1
-90.86808013916016,-0.6166700124740601,-90.83478981199718,-0.5836177627245585,X,1,185,1
-90.56810760498048,-0.6166700124740601,-90.5348172778175,-0.5836177627245585,X,1,186,4
-90.16815185546876,-0.6166700124740601,-90.13486152830578,-0.5836177627245585,X,1,187,4
-91.20137786865234,-0.5833399891853331,-91.16808754148936,-0.5502877394358316,X,1,188,1
-91.16805267333984,-0.5833399891853331,-91.13476234617687,-0.5502877394358316,X,1,189,1
-91.1347198486328,-0.5833399891853331,-91.10142952146984,-0.5502877394358316,X,1,190,1
-90.96807098388672,-0.5833399891853331,-90.93478065672376,-0.5502877394358316,X,1,191,1
-90.93473815917969,-0.5833399891853331,-90.90144783201671,-0.5502877394358316,X,1,192,1
-90.56810760498048,-0.5833399891853331,-90.5348172778175,-0.5502877394358316,X,1,193,4
-90.16815185546876,-0.5833399891853331,-90.13486152830578,-0.5502877394358316,X,1,194,4
-91.23471069335938,-0.5500100255012511,-91.2014203661964,-0.5169577757517496,X,1,195,1
-91.20137786865234,-0.5500100255012511,-91.16808754148936,-0.5169577757517496,X,1,196,1
-90.93473815917969,-0.5500100255012511,-90.90144783201671,-0.5169577757517496,X,1,197,1
-90.56810760498048,-0.5500100255012511,-90.5348172778175,-0.5169577757517496,X,1,198,4
-90.53478240966795,-0.5500100255012511,-90.501492082505,-0.5169577757517496,X,1,199,4
-90.23480987548828,-0.5500100255012511,-90.20151954832531,-0.5169577757517496,X,1,200,4
-90.20147705078124,-0.5500100255012511,-90.16818672361828,-0.5169577757517496,X,1,201,4
-90.16815185546876,-0.5500100255012511,-90.13486152830578,-0.5169577757517496,X,1,202,4
-91.6346664428711,-0.5166800022125244,-91.60137611570812,-0.4836277524630229,X,1,203,1
-91.6013412475586,-0.5166800022125244,-91.56805092039562,-0.4836277524630229,X,1,204,1
-91.56800842285156,-0.5166800022125244,-91.53471809568859,-0.4836277524630229,X,1,205,1
-91.53468322753906,-0.5166800022125244,-91.50139290037608,-0.4836277524630229,X,1,206,1
-91.50135040283205,-0.5166800022125244,-91.46806007566906,-0.4836277524630229,X,1,207,1
-91.468017578125,-0.5166800022125244,-91.43472725096204,-0.4836277524630229,X,1,208,1
-91.4346923828125,-0.5166800022125244,-91.40140205564951,-0.4836277524630229,X,1,209,1
-91.40135955810548,-0.5166800022125244,-91.3680692309425,-0.4836277524630229,X,1,210,1
-91.2680435180664,-0.5166800022125244,-91.23475319090343,-0.4836277524630229,X,1,211,1
-91.23471069335938,-0.5166800022125244,-91.2014203661964,-0.4836277524630229,X,1,212,1
